id;target;modelo;mae_test;rmse_test;r2_test;mae_validate;rmse_validate;r2_validate
PROD1;po;SARIMAX;0.0;0.0;1.0;0.0;0.0;1.0
PROD1;ce;SARIMAX;0.010451795330142899;0.010539136895043587;0.9979393887298246;0.049998238856166964;0.05225069556331634;0.9429099048971976
PROD1;re;SARIMAX;0.005043257100638937;0.0050517930521515155;0.9982296530421734;0.026555130718058262;0.02706681023103667;0.952806537698413
PROD1;peo;SARIMAX;4.995889297472131e-12;5.798808638608292e-12;1.0;6.980160007119869e-12;8.115296383330612e-12;1.0
PROD10;po;SARIMAX;2.3150548145167704e-10;2.768362983933981e-10;1.0;2.865891228035859e-10;3.3607785612383674e-10;1.0
PROD10;ce;SARIMAX;0.0057899400124067175;0.005862526909782626;0.9984072049086302;0.03320851636767674;0.03490141278025206;0.9358546686771609
PROD10;re;SARIMAX;0.008422074839795143;0.008501830796119892;0.9979811220159767;0.04002904353045916;0.04112083036756248;0.9559549833694603
PROD10;peo;SARIMAX;2.429826562287451e-26;2.980502681482803e-26;1.0;2.4298265622856515e-26;2.980502681482803e-26;1.0
PROD11;po;SARIMAX;1.8028719258230316e-10;2.108397750897974e-10;1.0;2.9136752270157257e-10;3.319843447596234e-10;1.0
PROD11;ce;SARIMAX;0.006339551338727305;0.0063976791391085015;0.9986405135270909;0.03980979370830936;0.04136053958754328;0.9359537135600055
PROD11;re;SARIMAX;0.00696672211541563;0.0069791589381278515;0.9981806563102303;0.035485395423263455;0.036200840984771644;0.954554792594372
PROD11;peo;SARIMAX;3.5052497985707185e-12;4.058635758821814e-12;1.0;4.909962245125886e-12;5.725566162884984e-12;1.0
PROD12;po;SARIMAX;1.8028837682019608e-10;2.1084114857179758e-10;1.0;2.9138173355628777e-10;3.3199681704873697e-10;1.0
PROD12;ce;SARIMAX;0.0014805244636451609;0.0015081465599825707;0.9999034274683154;0.04451393714624471;0.04523228077132395;0.9046080806633943
PROD12;re;SARIMAX;0.00571814193125907;0.00576492650204703;0.9988014261878103;0.039336844910875385;0.0407283985655161;0.9465143172625466
PROD12;peo;SARIMAX;2.5414450546806874e-26;3.117441433965896e-26;1.0;2.5414450546788068e-26;3.117441433965896e-26;1.0
PROD13;po;SARIMAX;1.8028837682019608e-10;2.1084114857179758e-10;1.0;2.9138173355628777e-10;3.3199681704873697e-10;1.0
PROD13;ce;SARIMAX;0.0034791535048053768;0.003517185374697196;0.9994141838914116;0.03865707080312757;0.039345470886851426;0.9202347958433457
PROD13;re;SARIMAX;0.008501686370275124;0.008530666905305054;0.9977089831291673;0.0396325210556725;0.04119776387488365;0.9522029195057392
PROD13;peo;SARIMAX;4.995889297472123e-12;5.798808638608285e-12;1.0;6.9801600071198085e-12;8.115296383330549e-12;1.0
PROD14;po;SARIMAX;0.0;0.0;1.0;0.0;0.0;1.0
PROD14;ce;SARIMAX;0.006425875736768209;0.006559471309221172;0.9978656355937849;0.026692976692679643;0.027845219608829443;0.9578031733289476
PROD14;re;SARIMAX;0.008492201684409987;0.00855713169999116;0.9981767016887407;0.04123668691703845;0.042660297739693924;0.9585205244904357
PROD14;peo;SARIMAX;2.623969710428038e-26;3.2185858685577647e-26;1.0;2.623969710426093e-26;3.2185858685577647e-26;1.0
PROD15;po;SARIMAX;1.8028837682019608e-10;2.1084114857179758e-10;1.0;2.9138173355628777e-10;3.3199681704873697e-10;1.0
PROD15;ce;SARIMAX;0.0012391518072356056;0.0012518491506353846;0.999909777551286;0.038130630525000965;0.039337603157787504;0.8987999360655081
PROD15;re;SARIMAX;0.008014020695021976;0.00808775508488138;0.9984992153213467;0.046659425076376014;0.047792606577917764;0.9511087351477826
PROD15;peo;SARIMAX;4.9958892974720755e-12;5.798808638608226e-12;1.0;6.980160007119521e-12;8.115296383330245e-12;1.0
PROD16;po;SARIMAX;2.243846590014679e-10;2.598046036634561e-10;1.0;3.142979210224439e-10;3.6651158939042017e-10;1.0
PROD16;ce;SARIMAX;0.004326081689131465;0.0043585843553181;0.9992031320052802;0.03958470724962029;0.0407880535615853;0.9212658107442909
PROD16;re;SARIMAX;0.0073302193689804935;0.007341905298680252;0.9982486978460505;0.039567045668730406;0.040288281034276514;0.9509960776277426
PROD16;peo;SARIMAX;4.9958892974721304e-12;5.798808638608292e-12;1.0;6.9801600071198634e-12;8.115296383330607e-12;1.0
PROD17;po;SARIMAX;1.8028837682019608e-10;2.1084114857179758e-10;1.0;2.9138173355628777e-10;3.3199681704873697e-10;1.0
PROD17;ce;SARIMAX;0.0021136446750762614;0.0021573801250438112;0.9997783161105931;0.03862706958293229;0.03937463030726334;0.9188979732078619
PROD17;re;SARIMAX;0.007095198983263366;0.007147578020744928;0.9985982352397891;0.04200732939586287;0.04369221140970833;0.9531390914500666
PROD17;peo;SARIMAX;3.5052497985707403e-12;4.058635758821844e-12;1.0;4.909962245126011e-12;5.725566162885118e-12;1.0
PROD18;po;SARIMAX;2.243846590014679e-10;2.5980426216558746e-10;1.0;3.143038422119086e-10;3.6652073156018127e-10;1.0
PROD18;ce;SARIMAX;0.006419105000201468;0.006504111619085869;0.9976102654773622;0.027882811726371425;0.028756123166091017;0.9491734896495969
PROD18;re;SARIMAX;0.009440577644250686;0.009473149517337904;0.9977792399408426;0.0439556913393109;0.04574489275313638;0.9536791728806074
PROD18;peo;SARIMAX;5.537901787286581e-12;6.892510748850056e-12;1.0;5.872671036666976e-12;7.1370368778612996e-12;1.0
PROD19;po;SARIMAX;0.0;0.0;1.0;0.0;0.0;1.0
