id;target;modelo;mae_test;rmse_test;r2_test;mae_validate;rmse_validate;r2_validate
PROD22;re;prophet;0.004496852;0.00490916;0.999434129;0.062598547;0.064935147;0.911468219
PROD22;peo;prophet;0.00137812;0.001614192;0.999990419;0.001092266;0.001386974;0.999992926
PROD23;po;prophet;0.005268037;0.00609492;0.999995284;0.004487852;0.00578619;0.999995749
PROD23;ce;prophet;0.002553997;0.002862988;0.999438634;0.036647857;0.037366045;0.895953074
PROD23;re;prophet;0.004749017;0.005205557;0.999489502;0.070032685;0.072417583;0.911627184
PROD23;peo;prophet;0.001404623;0.001645234;0.999990419;0.001113272;0.001413646;0.999992926
PROD24;po;prophet;0.007288558;0.008441734;0.999994327;0.006031935;0.007905837;0.999995024
PROD24;ce;prophet;0.002436886;0.002695103;0.999404188;0.032446079;0.033159942;0.901008801
PROD24;re;prophet;0.005184045;0.005862103;0.99941535;0.070593072;0.07276131;0.917514295
PROD24;peo;prophet;0.00046833;0.000563918;0.999999384;0.000708014;0.000800928;0.999998757
PROD25;po;prophet;0.005319252;0.006070358;0.99999572;0.004268852;0.00506728;0.999997017
PROD25;ce;prophet;0.002196359;0.002347087;0.999526818;0.032437675;0.03357558;0.890057713
PROD25;re;prophet;0.005199576;0.005965576;0.999486658;0.077189937;0.079231193;0.915565228
PROD25;peo;prophet;0.001460808;0.001711043;0.999990419;0.001157802;0.001470192;0.999992926
PROD3;po;prophet;0.006344183;0.007217291;0.999994999;0.005454505;0.007128049;0.999995122
PROD3;ce;prophet;0.004494504;0.005105117;0.999409867;0.062998274;0.06430468;0.898083702
PROD3;re;prophet;0.002809953;0.003041849;0.999464779;0.040027349;0.041394313;0.911318062
PROD3;peo;prophet;0.00081156;0.00095058;0.999990419;0.000643224;0.000816773;0.999992926
PROD4;po;prophet;0.006344183;0.007217291;0.999994999;0.005454505;0.007128049;0.999995122
PROD4;ce;prophet;0.004358577;0.004844903;0.999421612;0.057496278;0.058826071;0.906447714
PROD4;re;prophet;0.002936428;0.003301976;0.999435229;0.039824331;0.041094098;0.919924304
PROD4;peo;prophet;0.00081156;0.00095058;0.999990419;0.000643224;0.000816773;0.999992926
PROD5;po;prophet;0.006344183;0.007217291;0.999994999;0.005454505;0.007128049;0.999995122
PROD5;ce;prophet;0.004015134;0.004356105;0.999501304;0.057678663;0.059771037;0.893360831
PROD5;re;prophet;0.002888744;0.003336623;0.999470267;0.042798103;0.043932377;0.914371246
PROD5;peo;prophet;0.00081156;0.00095058;0.999990419;0.000643224;0.000816773;0.999992926
PROD6;po;prophet;0.005291935;0.006086919;0.999995087;0.00439984;0.005821027;0.999995507
PROD6;ce;prophet;0.004029431;0.00451623;0.999440348;0.057693564;0.059570097;0.890210353
PROD6;re;prophet;0.002817634;0.003224528;0.999533186;0.045312947;0.046206044;0.911002077
PROD6;peo;prophet;0.000987032;0.00115611;0.999990419;0.000782299;0.000993373;0.999992926
PROD7;po;prophet;0.006731304;0.007714419;0.999994371;0.00667755;0.008410567;0.999993309
PROD7;ce;prophet;0.003791781;0.004170363;0.999424774;0.052412745;0.053802341;0.894844328
PROD7;re;prophet;0.003092428;0.003455242;0.999499309;0.046758778;0.048469571;0.911872331
PROD7;peo;prophet;0.00101445;0.001188225;0.999990419;0.000804029;0.001020967;0.999992926
PROD8;po;prophet;0.007019237;0.008087621;0.999994068;0.007509381;0.009131515;0.999992438
PROD8;ce;prophet;0.003505666;0.003968959;0.999404464;0.049566653;0.050567088;0.89477683
PROD8;re;prophet;0.003559775;0.003853004;0.999468749;0.051279962;0.053005225;0.910041416
PROD8;peo;prophet;0.001043434;0.001222174;0.999990419;0.000827002;0.001050137;0.999992926
PROD9;po;prophet;0.007697591;0.008694289;0.999991975;0.009874404;0.010973612;0.999987215
PROD9;ce;prophet;0.003283905;0.003634621;0.999413333;0.0442683;0.045210065;0.900419878
PROD9;re;prophet;0.0038903;0.00433127;0.999396491;0.051345051;0.052943272;0.917448812
PROD9;peo;prophet;0.001058556;0.001239886;0.999990419;0.000838987;0.001065357;0.999992926
