id;target;modelo;mae_test;rmse_test;r2_test;mae_validate;rmse_validate;r2_validate
PROD21;re;Autoregresión;0.015695651;0.017247173;0.992229382;0.051173751;0.061085671;0.909420885
PROD21;peo;Autoregresión;1.82493E-15;3.27754E-15;1;3.82476E-15;6.47009E-15;1
PROD22;po;Autoregresión;7.88702E-13;7.90078E-13;1;1.5774E-12;1.58016E-12;1
PROD22;ce;Autoregresión;0.01146203;0.013252116;0.98907264;0.032837857;0.039315664;0.894388167
PROD22;re;Autoregresión;0.016423558;0.018195047;0.992226621;0.052948215;0.066892678;0.906050017
PROD22;peo;Autoregresión;3.26128E-16;4.04088E-16;1;6.53523E-16;8.08699E-16;1
PROD23;po;Autoregresión;2.74743E-13;2.77627E-13;1;5.49486E-13;5.55255E-13;1
PROD23;ce;Autoregresión;0.010507084;0.012183548;0.989833891;0.031117384;0.036286318;0.901879266
PROD23;re;Autoregresión;0.01760928;0.019518617;0.992822751;0.058824936;0.071838031;0.913036003
PROD23;peo;Autoregresión;2.32453E-16;2.78623E-16;1;4.69686E-16;5.61125E-16;1
PROD24;po;Autoregresión;3.68298E-13;3.70097E-13;1;7.36596E-13;7.40193E-13;1
PROD24;ce;Autoregresión;0.010019559;0.011481626;0.989186525;0.027276827;0.032110204;0.907177086
PROD24;re;Autoregresión;0.018737532;0.020820728;0.992624677;0.058421252;0.071650921;0.920012664
PROD24;peo;Autoregresión;2.46909E-15;2.79566E-15;1;4.93601E-15;5.54477E-15;1
PROD25;po;Autoregresión;1.16055E-13;1.27766E-13;1;2.32111E-13;2.55532E-13;1
PROD25;ce;Autoregresión;0.009205796;0.010679837;0.990202869;0.027958434;0.032842741;0.894804663
PROD25;re;Autoregresión;0.019455359;0.02157389;0.993286341;0.065654954;0.078210016;0.917727689
PROD25;peo;Autoregresión;3.1225E-16;3.64452E-16;1;6.2291E-16;7.28051E-16;1
PROD3;po;Autoregresión;7.11727E-13;7.1188E-13;1;1.42345E-12;1.42376E-12;1
