id;target;modelo;mae_test;rmse_test;r2_test;mae_validate;rmse_validate;r2_validate
PROD21;po;Media Móvil;3.009259259;3.900995265;-0.399014778;3.009259259;3.900995265;-0.399014778
PROD21;ce;Media Móvil;0.139610119;0.160958876;-0.378600603;0.124042064;0.135428354;-0.100687497
PROD21;re;Media Móvil;0.216139847;0.246741616;-0.590393196;0.198435504;0.222262267;-0.199170285
PROD21;peo;Media Móvil;0.297999149;0.730411236;-0.199694345;0.297999149;0.730411236;-0.199694345
PROD22;po;Media Móvil;3.051643192;3.955938861;-0.399014778;3.051643192;3.955938861;-0.399014778
PROD22;ce;Media Móvil;0.128404088;0.147973438;-0.362423986;0.115642385;0.126632815;-0.095655119
PROD22;re;Media Móvil;0.225658619;0.258327537;-0.566913013;0.213117718;0.237267512;-0.181996238
PROD22;peo;Media Móvil;0.157232704;0.544670065;-0.090909091;0.157232704;0.544670065;-0.090909091
PROD23;po;Media Móvil;2.657004831;3.276487915;-0.362962963;2.657004831;3.276487915;-0.362962963
PROD23;ce;Media Móvil;0.124996762;0.143954065;-0.419237469;0.112759849;0.123001117;-0.127439135
PROD23;re;Media Móvil;0.257834928;0.293259911;-0.620187603;0.240863595;0.268427542;-0.214184821
PROD23;peo;Media Móvil;0.16025641;0.55514449;-0.090909091;0.16025641;0.55514449;-0.090909091
PROD24;po;Media Móvil;3.233830846;4.192114315;-0.399014778;3.233830846;4.192114315;-0.399014778
PROD24;ce;Media Móvil;0.112561576;0.130140002;-0.389248971;0.101333258;0.11154999;-0.120232387
PROD24;re;Media Móvil;0.269832451;0.307088571;-0.60441427;0.249722222;0.280178274;-0.223056685
PROD24;peo;Media Móvil;0.320987654;0.786837302;-0.1996456;0.320987654;0.786837302;-0.1996456
PROD25;po;Media Móvil;2.777777778;3.425419183;-0.362962963;2.777777778;3.425419183;-0.362962963
PROD25;ce;Media Móvil;0.110431352;0.12669072;-0.378666756;0.09788386;0.106756348;-0.111488886
PROD25;re;Media Móvil;0.291766724;0.331998716;-0.589919664;0.267461407;0.30040143;-0.213760338
PROD25;peo;Media Móvil;0.166666667;0.577350269;-0.090909091;0.166666667;0.577350269;-0.090909091
PROD3;po;Media Móvil;3.055555556;3.767961102;-0.362962963;3.055555556;3.767961102;-0.362962963
PROD3;ce;Media Móvil;0.215108491;0.248008506;-0.392745827;0.194295756;0.212410379;-0.112013215
PROD3;re;Media Móvil;0.146087963;0.166275554;-0.599243266;0.136493056;0.152355145;-0.201345853
PROD3;peo;Media Móvil;0.092592593;0.32075015;-0.090909091;0.092592593;0.32075015;-0.090909091
PROD4;po;Media Móvil;3.055555556;3.767961102;-0.362962963;3.055555556;3.767961102;-0.362962963
PROD4;ce;Media Móvil;0.20672968;0.238458635;-0.401119696;0.186811703;0.204589304;-0.131567776
PROD4;re;Media Móvil;0.155046296;0.176470627;-0.613130383;0.144074074;0.1613221;-0.234040872
PROD4;peo;Media Móvil;0.092592593;0.32075015;-0.090909091;0.092592593;0.32075015;-0.090909091
PROD5;po;Media Móvil;3.055555556;3.767961102;-0.362962963;3.055555556;3.767961102;-0.362962963
PROD5;ce;Media Móvil;0.19794848;0.227439348;-0.359473681;0.175599201;0.192004338;-0.100416919
PROD5;re;Media Móvil;0.159756944;0.181916095;-0.574651733;0.146435185;0.164732361;-0.20394895
PROD5;peo;Media Móvil;0.092592593;0.32075015;-0.090909091;0.092592593;0.32075015;-0.090909091
PROD6;po;Media Móvil;2.636054422;3.186223469;-0.34611697;2.636054422;3.186223469;-0.34611697
PROD6;ce;Media Móvil;0.196653903;0.226090449;-0.402589273;0.175539892;0.190270093;-0.120071735
PROD6;re;Media Móvil;0.165781166;0.18926728;-0.608283234;0.153059042;0.170910936;-0.217648681
PROD6;peo;Media Móvil;0.112612613;0.390101533;-0.090909091;0.112612613;0.390101533;-0.090909091
PROD7;po;Media Móvil;3.038194444;3.815496697;-0.37704918;3.038194444;3.815496697;-0.37704918
PROD7;ce;Media Móvil;0.176384901;0.203084437;-0.364092325;0.159255797;0.173932971;-0.098991132
PROD7;re;Media Móvil;0.168849206;0.193349651;-0.56783306;0.159834957;0.177791131;-0.185752661
PROD7;peo;Media Móvil;0.115740741;0.400937687;-0.090909091;0.115740741;0.400937687;-0.090909091
PROD8;po;Media Móvil;3.102836879;3.896677478;-0.37704918;3.102836879;3.896677478;-0.37704918
PROD8;ce;Media Móvil;0.166101614;0.191648289;-0.388559452;0.149833398;0.164099013;-0.108121638
PROD8;re;Media Móvil;0.185567766;0.211197232;-0.596163257;0.173133903;0.19339408;-0.197544318
PROD8;peo;Media Móvil;0.119047619;0.412393049;-0.090909091;0.119047619;0.412393049;-0.090909091
PROD9;po;Media Móvil;2.717391304;3.65924092;-0.421602787;2.717391304;3.65924092;-0.421602787
PROD9;ce;Media Móvil;0.155253926;0.179169372;-0.425610884;0.139259507;0.152963693;-0.139932426
PROD9;re;Media Móvil;0.198340789;0.225366024;-0.633916534;0.183196068;0.205134683;-0.23931
PROD9;peo;Media Móvil;0.120772947;0.41836976;-0.090909091;0.120772947;0.41836976;-0.090909091
